filepath,brand,type,inferred
20Bet/20Bet App _ Asia Review.docx,20Bet,app_review,TRUE
20Bet/20Bet Betting _ Asia Review.docx,20Bet,main_review,TRUE
20Bet/20Bet Bonuses _ Asia Review.docx,20Bet,bonus_page,TRUE
20Bet/20Bet Main Review _ Asia.docx,20Bet,main_review,TRUE
20Bet/20Bet Malaysia App.docx,20Bet,app_review,TRUE
20Bet/20Bet Malaysia Bonuses.docx,20Bet,bonus_page,TRUE
"20Bet/20Bet Malaysia Sportsbook Review_ Odds, Bonuses and More.docx",20Bet,main_review,TRUE
20Bet/20Bet Malaysia _ Top Online Casino & Sports Betting Site 2025.docx,20Bet,main_review,TRUE
22Bet/22Bet App.docx,22Bet,app_review,TRUE
22Bet/22Bet App_ When A Betting App Fits In Your Pocket_ A Fresh Kenyan Take On 22Bet.docx,22Bet,app_review,TRUE
22Bet/22Bet Bonuses.docx,22Bet,bonus_page,TRUE
22Bet/22Bet Bonuses_ 22Bet Bonuses — What’s On Offer in Kenya.docx,22Bet,bonus_page,TRUE
22Bet/22Bet Casino.docx,22Bet,live_casino,TRUE
22Bet/22Bet Free Spins.docx,22Bet,bonus_page,TRUE
22Bet/22Bet Kenya_ A Bustling Bookmaker That Packs Serious Value.docx,22Bet,main_review,reviewed
22Bet/22Bet Live.docx,22Bet,live_casino,reviewed
22Bet/22Bet NZ _ App Review.docx,22Bet,app_review,TRUE
22Bet/22Bet NZ _ Bonus Review.docx,22Bet,bonus_page,TRUE
22Bet/22Bet NZ _ Casino Review.docx,22Bet,live_casino,TRUE
22Bet/22Bet NZ _ Sportsbook Review.docx,22Bet,main_review,TRUE
22Bet/22Bet Nigeria Main Review.docx,22Bet,main_review,TRUE
22Bet/22Bet Payments.docx,22Bet,payments,TRUE
22Bet/22Bet Privacy Policy.docx,22Bet,privacy_policy,reviewed
22Bet/22Bet Promo Code.docx,22Bet,bonus_page,TRUE
22Bet/22Bet Registration.docx,22Bet,registration,TRUE
22Bet/22Bet Responsible Gaming.docx,22Bet,responsible_gaming,TRUE
22Bet/22Bet Slots.docx,22Bet,game_review,TRUE
22Bet/22Bet VIP.docx,22Bet,vip_loyalty,TRUE
22Bet/22Bet Welcome Bonus.docx,22Bet,bonus_page,TRUE
22Bet/22Bet ZA App.docx,22Bet,app_review,TRUE
22Bet/22Bet ZA Bonus.docx,22Bet,bonus_page,TRUE
22Bet/22Bet ZA Main.docx,22Bet,main_review,reviewed
22Bet/22Bet support.docx,22Bet,customer_support,TRUE
